frame,plate,confidence
526,B 1182 HZA,0.6254122055585355
527,B 1182 HZA,0.6254122055585355
4150,B 4629 UAJ,0.4698038942482926
4151,B 4629 UAJ,0.4698038942482926
4152,B 4629 UAJ,0.4698038942482926
4153,B 4629 UAJ,0.4698038942482926
4154,B 4629 UAJ,0.4698038942482926
4155,B 4629 UAJ,0.4698038942482926
4156,B 4629 UAJ,0.4698038942482926
4157,B 4629 UAJ,0.4698038942482926
4158,B 4629 UAJ,0.4698038942482926
4159,B 4629 UAJ,0.4698038942482926
4160,B 4629 UAJ,0.4698038942482926
4161,B 4629 UAJ,0.4698038942482926
4162,B 4629 UAJ,0.4698038942482926
4163,B 4629 UAJ,0.4698038942482926
4164,B 4629 UAJ,0.4698038942482926
4165,B 4629 UAJ,0.4698038942482926
4166,B 4629 UAJ,0.4698038942482926
4167,B 4629 UAJ,0.4698038942482926
4168,B 4629 UAJ,0.4698038942482926
4169,B 4629 UAJ,0.4698038942482926
4170,B 4629 UAJ,0.4698038942482926
4171,B 4629 UAJ,0.4698038942482926
4172,B 4629 UAJ,0.4698038942482926
4173,B 4629 UAJ,0.4698038942482926
4174,B 4629 UAJ,0.4698038942482926
4175,B 4629 UAJ,0.4698038942482926
4176,B 4629 UAJ,0.4698038942482926
4177,B 4629 UAJ,0.4698038942482926
4178,B 4629 UAJ,0.4698038942482926
4179,B 4629 UAJ,0.4698038942482926
4180,B 4629 UAJ,0.4698038942482926
4181,B 4629 UAJ,0.4698038942482926
4182,B 4629 UAJ,0.4698038942482926
4183,B 4629 UAJ,0.4698038942482926
4184,B 4629 UAJ,0.4698038942482926
4185,B 4629 UAJ,0.4698038942482926
4186,B 4629 UAJ,0.4698038942482926
4187,B 4629 UAJ,0.4698038942482926
4188,B 4629 UAJ,0.4698038942482926
4189,B 4629 UAJ,0.4698038942482926
4190,B 4629 UAJ,0.4698038942482926
4191,B 4629 UAJ,0.4698038942482926
4192,B 4629 UAJ,0.4698038942482926
4193,B 4629 UAJ,0.4698038942482926
4194,B 4629 UAJ,0.4698038942482926
4195,B 4629 UAJ,0.4698038942482926
4196,B 4629 UAJ,0.4698038942482926
